time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1940-05-17T01:59:43.420Z,7.316,-81.572,15,5.91,mw,,,,,iscgem,iscgem901331,2022-04-26T19:35:00.241Z,"51 km SSW of Río Grande, Panama",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1941-03-10T04:05:46.620Z,7.561,-81.031,15,5.67,mw,,,,,iscgem,iscgem900701,2022-04-26T19:24:47.075Z,"18 km SSW of Tebario, Panama",earthquake,,4,0.66,,reviewed,iscgem,iscgem
1942-05-14T02:13:27.010Z,-0.014,-79.982,20,7.8,mw,,,,,iscgem,iscgem900274,2022-04-26T19:17:33.976Z,"12 km SE of Pedernales, Ecuador",earthquake,,4,0.3,,reviewed,iscgem,iscgem
1942-05-15T11:51:25.980Z,0.556,-80.045,15,6.29,mw,,,,,iscgem,iscgem900280,2022-04-26T19:17:41.337Z,"6 km SSW of Muisne, Ecuador",earthquake,,13.4,0.2,,reviewed,iscgem,iscgem
1942-05-17T15:14:21.640Z,0.532,-80.249,15,6.43,mw,,,,,iscgem,iscgem900289,2022-04-26T19:17:46.712Z,"27 km WSW of Muisne, Ecuador",earthquake,,13.4,0.25,,reviewed,iscgem,iscgem
1942-05-22T10:30:43.540Z,4.437,-74.636,15,5.98,mw,,,,,iscgem,iscgem900292,2022-04-26T19:17:52.188Z,"2 km S of Tocaima, Colombia",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1942-06-12T10:21:34.950Z,-2.083,-76.877,15,6.25,mw,,,,,iscgem,iscgem900327,2022-04-26T19:18:29.705Z,"128 km ESE of Palora, Ecuador",earthquake,,25,0.41,,reviewed,iscgem,iscgem
1942-06-16T21:05:18.690Z,0.569,-80.655,15,6.23,mw,,,,,iscgem,iscgem900340,2022-04-26T19:18:50.543Z,"70 km W of Muisne, Ecuador",earthquake,,7.7,0.22,,reviewed,iscgem,iscgem
1942-07-04T01:53:10.940Z,0.612,-80.462,15,6.07,mw,,,,,iscgem,iscgem900364,2022-04-26T19:19:14.613Z,"49 km W of Muisne, Ecuador",earthquake,,7.7,0.2,,reviewed,iscgem,iscgem
1942-07-04T06:08:39.650Z,0.724,-80.692,15,5.98,mw,,,,,iscgem,iscgem900366,2022-04-26T19:19:16.760Z,"75 km W of Muisne, Ecuador",earthquake,,7.7,0.2,,reviewed,iscgem,iscgem
1942-07-07T12:37:50.150Z,0.785,-80.193,15,6.2,mw,,,,,iscgem,iscgem900378,2022-04-26T19:19:18.422Z,"27 km NW of Muisne, Ecuador",earthquake,,11.1,0.2,,reviewed,iscgem,iscgem
1942-07-08T22:31:00.440Z,0.755,-80.169,15,6.3,mw,,,,,iscgem,iscgem900383,2022-04-26T19:19:23.437Z,"23 km NW of Muisne, Ecuador",earthquake,,11.1,0.35,,reviewed,iscgem,iscgem
1942-07-12T05:05:20.630Z,-0.134,-79.878,15,6.56,mw,,,,,iscgem,iscgem900388,2022-04-26T19:19:24.934Z,"29 km SE of Pedernales, Ecuador",earthquake,,10.6,0.48,,reviewed,iscgem,iscgem
1942-11-12T15:26:22.820Z,0.011,-80.667,15,6.4,mw,,,,,iscgem,iscgem900541,2022-04-26T19:22:23.395Z,"68 km W of Pedernales, Ecuador",earthquake,,7.6,0.2,,reviewed,iscgem,iscgem
1942-11-19T08:51:58.380Z,-0.464,-81.6,15,6.46,mw,,,,,iscgem,iscgem900557,2022-04-26T19:22:35.282Z,"113 km WNW of Manta, Ecuador",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1942-11-19T09:08:51.750Z,-0.733,-81.856,15,6.39,mw,,,,,iscgem,iscgem900558,2022-04-26T19:22:37.537Z,"129 km WNW of Manta, Ecuador",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1942-12-15T09:09:09.470Z,-0.112,-81.33,15,6.31,mw,,,,,iscgem,iscgem900586,2022-04-26T19:23:08.347Z,"off the coast of Ecuador",earthquake,,25,0.45,,reviewed,iscgem,iscgem
1942-12-26T12:31:50.640Z,9.276,-75.524,15,6.25,mw,,,,,iscgem,iscgem900600,2022-04-26T19:23:25.489Z,"6 km SSE of Palmito, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1943-01-30T05:33:04.420Z,-2.051,-80.147,58.7,6.22,mw,,,,,iscgem,iscgem899707,2022-04-26T19:09:42.870Z,"19 km SSW of Lomas de Sargentillo, Ecuador",earthquake,,5.1,0.2,,reviewed,iscgem,iscgem
1943-05-02T17:18:10.250Z,6.767,-80.362,20,6.96,mw,,,,,iscgem,iscgem899837,2022-04-26T19:11:10.587Z,"56 km SSE of Cambutal, Panama",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1943-12-21T13:46:21.820Z,12.775,-71.216,15,6.12,mw,,,,,iscgem,iscgem900133,2022-04-26T19:15:58.283Z,"163 km NW of Punto Fijo, Venezuela",earthquake,,3.4,0.2,,reviewed,iscgem,iscgem
1943-12-22T12:53:11.220Z,12.853,-71.131,15,6.22,mw,,,,,iscgem,iscgem900136,2022-04-26T19:16:03.700Z,"163 km NW of Punto Fijo, Venezuela",earthquake,,3.4,0.2,,reviewed,iscgem,iscgem
1943-12-23T15:56:06.990Z,12.717,-71.189,15,6.27,mw,,,,,iscgem,iscgem900138,2022-04-26T19:16:09.412Z,"156 km NW of Punto Fijo, Venezuela",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1944-10-23T23:40:10.560Z,0.767,-79.297,20,6.6,mw,,,,,iscgem,iscgem899592,2022-04-26T19:08:46.596Z,"45 km ESE of Esmeraldas, Ecuador",earthquake,,20.5,0.38,,reviewed,iscgem,iscgem
1945-03-17T23:57:58.090Z,6.531,-78.584,15,6.41,mw,,,,,iscgem,iscgem898841,2022-04-26T18:59:48.412Z,"110 km SW of Juradó, Colombia",earthquake,,3.9,0.45,,reviewed,iscgem,iscgem
1946-03-29T07:26:07.900Z,-1.6,-81.068,15,6.56,mw,,,,,iscgem,iscgem898307,2022-04-26T18:54:20.837Z,"61 km WSW of Jipijapa, Ecuador",earthquake,,10.3,0.2,,reviewed,iscgem,iscgem
1949-08-05T19:08:51.660Z,-1.237,-78.305,15,6.45,mw,,,,,iscgem,iscgem896736,2022-04-26T18:37:14.587Z,"22 km NE of Baños, Ecuador",earthquake,,6.4,0.2,,reviewed,iscgem,iscgem
1950-08-03T22:18:21.840Z,9.71,-69.819,15,6.4,mw,,,,,iscgem,iscgem895653,2022-04-26T18:26:53.143Z,"8 km SSW of El Tocuyo, Venezuela",earthquake,,3.5,0.23,,reviewed,iscgem,iscgem
1950-10-05T23:07:48.730Z,-4.072,-81.641,15,5.9,mw,,,,,iscgem,iscgem895892,2022-04-26T18:30:43.161Z,"51 km WNW of El Alto, Peru",earthquake,,1.6,0.2,,reviewed,iscgem,iscgem
1951-01-05T00:52:37.990Z,7.331,-80.835,15,5.91,mw,,,,,iscgem,iscgem893995,2022-04-26T18:12:00.305Z,"5 km SSE of Arenas, Panama",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1951-01-06T07:51:35.520Z,7.329,-80.993,54.4,6.59,mw,,,,,iscgem,iscgem894002,2022-04-26T18:12:02.039Z,"15 km WSW of Arenas, Panama",earthquake,,5.3,0.24,,reviewed,iscgem,iscgem
1951-12-06T14:29:22.530Z,5.685,-77.367,15,6.08,mw,,,,,iscgemsup,iscgemsup895015,2022-05-09T20:32:02.811Z,"11 km WSW of Nuquí, Colombia",earthquake,,7,0.72,,reviewed,iscgemsup,iscgemsup
1952-01-15T07:00:57.790Z,-4.207,-81.143,35,6.3,mw,,,,,iscgemsup,iscgemsup892386,2022-05-09T20:15:20.493Z,"10 km NE of El Alto, Peru",earthquake,,7,0.9,,reviewed,iscgemsup,iscgemsup
1952-02-14T21:02:42.410Z,7.361,-76.37,20,5.94,mw,,,,,iscgem,iscgem892490,2022-04-26T17:59:50.971Z,"14 km NNE of Mutatá, Colombia",earthquake,,3.8,0.26,,reviewed,iscgem,iscgem
1952-04-19T09:58:56.140Z,7.013,-71.941,28.2,6.45,mw,,,,,iscgem,iscgem892794,2022-04-26T18:02:12.112Z,"18 km E of Cubará, Colombia",earthquake,,4.5,0.23,,reviewed,iscgem,iscgem
1952-05-16T20:45:43.210Z,6.622,-78.818,10,6.31,mw,,,,,iscgem,iscgem892914,2022-04-26T18:03:05.549Z,"122 km SW of Jaqué, Panama",earthquake,,3.3,0.23,,reviewed,iscgem,iscgem
1952-06-05T05:56:34.450Z,5.863,-77.646,10,5.82,mw,,,,,iscgem,iscgem892990,2022-04-26T18:03:49.481Z,"44 km WNW of Nuquí, Colombia",earthquake,,3.4,0.2,,reviewed,iscgem,iscgem
1952-07-03T00:52:29.100Z,5.698,-77.531,15,5.76,mw,,,,,iscgem,iscgem893105,2022-04-26T18:04:46.083Z,"28 km W of Nuquí, Colombia",earthquake,,7,0.2,,reviewed,iscgem,iscgem
1953-04-01T10:49:44.780Z,-0.254,-80.804,10,6.1,mw,,,,,iscgem,iscgem891597,2022-04-26T17:50:04.619Z,"56 km NW of Bahía de Caráquez, Ecuador",earthquake,,8.3,0.2,,reviewed,iscgem,iscgem
1953-04-01T11:21:27.540Z,-0.344,-80.685,20,6.16,mw,,,,,iscgem,iscgem891598,2022-04-26T17:50:05.728Z,"40 km NW of Bahía de Caráquez, Ecuador",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1953-12-12T17:31:29.840Z,-3.552,-80.636,25,7.32,mw,,,,,iscgem,iscgem892281,2022-04-26T17:58:53.113Z,"",earthquake,,4.7,0.2,,reviewed,iscgem,iscgem
1955-05-11T11:04:04.380Z,-0.23,-77.878,15,6.48,mw,,,,,iscgemsup,iscgemsup889513,2022-05-09T20:00:29.861Z,"42 km SE of Cayambe, Ecuador",earthquake,,5.8,1.03,,reviewed,iscgemsup,iscgemsup
1955-07-20T21:00:47.500Z,0.303,-78.394,15,6,mw,,,,,iscgem,iscgem889774,2022-04-26T17:35:21.520Z,"14 km W of Cotacachi, Ecuador",earthquake,,7.8,0.35,,reviewed,iscgem,iscgem
1956-01-16T23:37:45.120Z,-0.727,-80.213,20,6.95,mw,,,,,iscgem,iscgem887842,2022-04-26T17:21:51.864Z,"7 km NNE of Tosagua, Ecuador",earthquake,,8.7,0.2,,reviewed,iscgem,iscgem
1956-08-20T05:33:51.070Z,7.261,-79.747,15,5.8,mw,,,,,iscgem,iscgem888610,2022-04-26T17:25:58.348Z,"42 km SE of Pedasí, Panama",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1956-11-16T11:53:59.360Z,8.357,-71.181,15,6.1,mw,,,,,iscgem,iscgem888910,2022-04-26T17:29:02.003Z,"8 km SW of Mucumpiz, Venezuela",earthquake,,4.6,0.2,,reviewed,iscgem,iscgem
1956-12-16T01:41:59.260Z,6.439,-77.49,32.8,5.95,mw,,,,,iscgem,iscgem889010,2022-04-26T17:29:51.266Z,"25 km NNW of Bahía Solano, Colombia",earthquake,,3.9,0.33,,reviewed,iscgem,iscgem
1957-04-21T21:12:31.810Z,6.868,-72.095,25,6.64,mw,,,,,iscgem,iscgem886430,2022-04-26T17:11:34.474Z,"15 km S of Cubará, Colombia",earthquake,,4,0.28,,reviewed,iscgem,iscgem
1957-05-24T02:37:50.370Z,3.7,-76.752,52.3,6.12,mw,,,,,iscgem,iscgem886586,2022-04-26T17:12:09.047Z,"8 km NW of Dagua, Colombia",earthquake,,5.2,0.26,,reviewed,iscgem,iscgem
1957-08-26T13:58:50.400Z,-1.925,-80.99,15,6.34,mw,,,,,iscgem,iscgem887096,2022-04-26T17:16:02.486Z,"32 km N of Salinas, Ecuador",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1958-01-19T14:07:28.470Z,1.011,-79.489,27.5,7.6,mw,,,,,iscgem,iscgem883713,2022-04-26T16:53:35.453Z,"near the coast of Ecuador",earthquake,,6.4,0.3,,reviewed,iscgem,iscgem
1958-01-19T14:43:30.300Z,1.153,-79.543,27.5,6.85,mw,,,,,iscgem,iscgem883714,2022-04-26T16:53:36.519Z,"24 km NNE of Esmeraldas, Ecuador",earthquake,,20.5,0.34,,reviewed,iscgem,iscgem
1958-02-01T16:10:16.510Z,1.541,-79.338,15,6.9,mw,,,,,iscgem,iscgem883765,2022-04-26T16:54:13.897Z,"51 km NW of Valdez, Ecuador",earthquake,,7.3,0.4,,reviewed,iscgem,iscgem
1958-02-01T18:02:42.740Z,1.55,-79.305,25,6.26,mw,,,,,iscgem,iscgem883766,2022-04-26T16:54:20.166Z,"48 km NW of Valdez, Ecuador",earthquake,,7.3,0.46,,reviewed,iscgem,iscgem
1958-02-01T20:45:49.960Z,1.446,-79.146,25,6.34,mw,,,,,iscgem,iscgem883768,2022-04-26T16:54:25.638Z,"28 km NW of Valdez, Ecuador",earthquake,,25,0.36,,reviewed,iscgem,iscgem
1958-04-03T08:25:49.260Z,1.406,-79.547,25,5.73,mw,,,,,iscgem,iscgem884108,2022-04-26T16:55:59.351Z,"50 km NNE of Esmeraldas, Ecuador",earthquake,,7.3,0.67,,reviewed,iscgem,iscgem
1958-04-14T21:32:34.350Z,0.801,-79.428,25,6.8,mw,,,,,iscgem,iscgem884193,2022-04-26T16:56:28.916Z,"30 km SE of Esmeraldas, Ecuador",earthquake,,20.5,0.4,,reviewed,iscgem,iscgem
1958-04-15T01:30:49.750Z,0.907,-79.581,25,6.12,mw,,,,,iscgem,iscgem884195,2022-04-26T16:56:30.050Z,"9 km SE of Esmeraldas, Ecuador",earthquake,,20.5,0.33,,reviewed,iscgem,iscgem
1958-05-25T21:11:45.800Z,-3.235,-77.877,45.8,6.19,mw,,,,,iscgem,iscgem884447,2022-04-26T16:58:19.872Z,"80 km ENE of Gualaquiza, Ecuador",earthquake,,5,0.26,,reviewed,iscgem,iscgem
